0.0001,0.0163
0.0001,0.0164
0.0000,0.0182
0.0000,0.0155
0.0000,0.0176
0.0000,0.0142
0.0000,0.0177
0.0001,0.0203
0.0000,0.0162
0.0000,0.0146
0.0000,0.0181
0.0000,0.0180
0.0000,0.0160
0.0000,0.0175
0.0000,0.0137
0.0000,0.0158
0.0000,0.0159
0.0000,0.0162
0.0000,0.0151
0.0000,0.0188
0.0000,0.0141
0.0000,0.0138
0.0001,0.0200
0.0000,0.0137
0.0000,0.0176
0.0000,0.0137
0.0000,0.0160
0.0000,0.0163
0.0000,0.0160
0.0000,0.0135
0.0000,0.0180
0.0000,0.0180
0.0000,0.0146
0.0000,0.0153
0.0000,0.0143
0.0000,0.0159
0.0000,0.0147
0.0000,0.0155
0.0000,0.0144
0.0000,0.0142
0.0000,0.0183
0.0000,0.0179
0.0001,0.0235
0.0000,0.0170
0.0000,0.0143
0.0000,0.0171
0.0000,0.0136
0.0000,0.0143
0.0000,0.0170
0.0000,0.0175
0.0000,0.0134
0.0000,0.0132
0.0000,0.0168
0.0000,0.0152
0.0000,0.0144
0.0000,0.0133
0.0000,0.0184
0.0000,0.0156
0.0000,0.0134
0.0000,0.0170
0.0000,0.0142
0.0000,0.0142
0.0000,0.0139
0.0000,0.0131
0.0000,0.0156
0.0000,0.0143
0.0000,0.0136
0.0000,0.0156
0.0000,0.0146
0.0000,0.0155
0.0000,0.0145
0.0000,0.0146
0.0000,0.0180
0.0000,0.0172
0.0001,0.0208
0.0001,0.0184
0.0000,0.0184
0.0000,0.0153
0.0000,0.0140
0.0000,0.0129
0.0000,0.0154
0.0000,0.0152
0.0000,0.0145
0.0000,0.0176
0.0000,0.0133
0.0001,0.0214
0.0000,0.0146
0.0000,0.0160
0.0000,0.0143
0.0000,0.0131
0.0000,0.0154
0.0000,0.0152
0.0000,0.0138
0.0000,0.0129
0.0000,0.0153
0.0000,0.0160
0.0000,0.0171
0.0000,0.0140
0.0000,0.0127
0.0000,0.0137
0.0000,0.0132
0.0000,0.0126
0.0000,0.0130
0.0000,0.0126
0.0000,0.0127
0.0000,0.0129
0.0000,0.0127
0.0000,0.0127
0.0000,0.0129
0.0000,0.0129
0.0000,0.0129
0.0000,0.0128
0.0000,0.0129
0.0000,0.0127
0.0000,0.0127
0.0000,0.0127
0.0000,0.0128
0.0000,0.0130
0.0000,0.0131
0.0000,0.0127
0.0000,0.0129
0.0000,0.0127
0.0000,0.0125
0.0000,0.0129
0.0000,0.0128
0.0000,0.0132
0.0000,0.0130
0.0000,0.0128
0.0000,0.0128
0.0000,0.0128
0.0000,0.0126
0.0000,0.0127
0.0000,0.0129
0.0000,0.0126
0.0000,0.0127
0.0000,0.0127
0.0000,0.0126
0.0000,0.0131
0.0000,0.0126
0.0000,0.0130
0.0000,0.0127
0.0000,0.0126
0.0000,0.0127
0.0000,0.0127
0.0000,0.0127
0.0000,0.0129
0.0000,0.0129
0.0000,0.0130
0.0000,0.0128
0.0000,0.0132
0.0000,0.0126
0.0000,0.0132
0.0000,0.0128
0.0000,0.0130
0.0000,0.0127
0.0000,0.0127
0.0000,0.0128
0.0000,0.0126
0.0000,0.0127
0.0000,0.0127
0.0000,0.0127
0.0000,0.0128
0.0000,0.0127
0.0000,0.0126
0.0000,0.0126
0.0000,0.0131
0.0000,0.0131
0.0000,0.0128
0.0000,0.0129
0.0000,0.0127
0.0000,0.0127
0.0000,0.0128
0.0000,0.0130
0.0000,0.0127
0.0000,0.0127
0.0000,0.0129
0.0000,0.0127
0.0000,0.0129
0.0000,0.0129
0.0000,0.0126
0.0000,0.0129
0.0000,0.0131
0.0000,0.0127
0.0000,0.0127
0.0000,0.0130
0.0000,0.0126
0.0000,0.0127
0.0000,0.0129
0.0000,0.0129
0.0000,0.0130
0.0000,0.0129
0.0000,0.0128
0.0000,0.0129
0.0000,0.0126
0.0000,0.0125
0.0000,0.0130
0.0000,0.0128
0.0000,0.0133
0.0000,0.0128
0.0000,0.0127
0.0000,0.0128
0.0000,0.0129
0.0000,0.0134
